Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
7,kostolanyi,pecheur,,54.0,2300,0,nass
1,entourage,best,,56.0,2300,0,nass
2,anna bellamy,schiergen,,58.0,2300,0,nass
3,petit filou,bojko,,54.5,2300,0,nass
4,dwayne,hellyn,,57.5,2300,0,nass
5,duty and destiny,pecheur,,60.0,2300,0,nass
6,ribana,danz,,51.0,2300,0,nass
7,crespo,laznovska,,56.5,2300,0,nass
8,auenwurf,ganbat,,54.0,2300,0,nass
1,saglawiyah asil,hellyn,,56.0,1900,0,nass
2,aosta spring,schiergen,,56.0,1900,0,nass
3,over the sky,pecheur,,56.5,1900,0,nass
4,dragoslav (gb),best,,58.0,1900,0,nass
5,lunar prospect (fr),palik,,58.0,1900,0,nass
6,sir mordred,hofer,,58.0,1900,0,nass
7,oro americana,wandt,,56.0,1900,0,nass
1,falakee (gb),danz,,51.5,1500,0,nass
2,air dream,hofer,,60.5,1500,0,nass
3,sharano,bojko,,55.0,1500,0,nass
4,brunello,ganbat,,54.5,1500,0,nass
5,worlds danger,pecheur,,57.0,1500,0,nass
6,super eagle,schiergen,,58.5,1500,0,nass
7,little star,hellyn,,62.0,1500,0,nass
1,beagle boy (ire),schiergen,,56.0,1500,0,nass
2,for pro,best,,56.0,1500,0,nass
3,carlos moheba,hellyn,,56.0,1500,0,nass
4,chartreuse,ganbat,,54.0,1500,0,nass
5,chairman,palik,,56.0,1500,0,nass
6,sumatra tiger,bojko,,56.0,1500,0,nass
7,fiorita beat,danz,,52.0,1500,0,nass
8,pocoyo,laznovska,,55.0,1500,0,nass
1,sir hilleshage,goossens,,63.0,1500,0,nass
2,red hot chilly,schiergen,,62.0,1500,0,nass
3,pumpgun,mattes,,60.0,1500,0,nass
4,keyana,vethaak/nl,,56.5,1500,0,nass
5,favorfoot danon (ire),laznovska,,54.0,1500,0,nass
6,serko (fr) (h),weißmeier,,61.5,1500,0,nass
7,therrana,ehm,,52.5,1500,0,nass
7,therrana,ehm,,52.5,1500,0,nass
